n_evals,hv_all
40,0.0
80,0.0
120,0.0
160,0.0
200,0.019963211349867456
240,0.019963211349867456
280,0.18239910418239277
320,0.18239910418239277
360,0.18239910418239277
400,0.3953591737067921
440,0.39609421717245796
480,0.39782240399320734
520,0.40512215437913435
560,0.4406822029919939
600,0.4406822029919939
640,0.4406822029919939
680,0.4529103809159965
720,0.465964797698509
760,0.465964797698509
800,0.465964797698509
840,0.47121466152473734
880,0.47337305112802847
920,0.47337305112802847
960,0.47337314963710436
1000,0.4736757907777974
1040,0.47399260606820526
1080,0.47399271792378495
1120,0.5544946947671984
1160,0.5674840294324016
1200,0.5682072754543552
1240,0.5691225675318017
1280,0.5734701570596625
1320,0.573737372404709
1360,0.5737612929818546
1400,0.5737636384099811
1440,0.5737643261087052
1480,0.5751103098526464
1520,0.6122356508916973
1560,0.6445252005106838
1600,0.647319974297015
1640,0.6473472885830398
1680,0.6473580486961835
1720,0.6473580486961835
1760,0.6474706291226702
1800,0.6516014861736659
1840,0.6577332635379616
1880,0.658256029766549
1920,0.6600654649935085
1960,0.6623877517207517
2000,0.6625177368308592
