n_evals,sp
40,0.18005788882560303
80,0.294706317976614
120,0.2552015945089621
160,0.2292122872288721
200,0.2029413917883253
240,0.1346339425662812
280,0.1771572082595067
320,0.09902817199445195
360,0.09309625517581586
400,0.11957807151689635
440,0.16974194982831967
480,0.23191739465510375
520,0.17481779249203427
560,0.15993715504770908
600,0.1599402943186463
640,0.16032404170449086
680,0.18406025019115252
720,0.2085772356504974
760,0.1528340252174279
800,0.12204481424460643
840,0.106963181248848
880,0.13044397345096057
920,0.12239868908399848
960,0.1087433345114677
1000,0.09796303609872041
1040,0.08909803974550996
1080,0.08834924541922297
1120,0.09893306404996127
1160,0.08965394831187991
1200,0.08963652989372364
1240,0.08990035464252324
1280,0.09604427354038547
1320,0.08565257497938739
1360,0.10526315789473682
1400,0.09999999999999988
1440,0.09523809523809522
1480,0.09999999999999994
1520,0.08775957073187439
1560,0.10462561512028738
1600,0.14263698589768808
1640,0.12904391676688354
1680,0.10620246434158873
1720,0.10620246434158873
1760,0.1174966237633948
1800,0.13909754286974035
1840,0.16640203880340343
1880,0.15735556300595016
1920,0.13286575675639756
1960,0.12448360460577307
2000,0.10186859315763394
